id	name	Feed_2013	Food_2013	ratio
TLS	Timor-Leste	18	837	2.150537634
TGO	Togo	302	6379	4.734284371
TTO	Trinidad and Tobago	176	1773	9.926677947
TUN	Tunisia	4344	18479	23.50776557
TUR	Turkey	35502	145101	24.46709533
TKM	Turkmenistan	4972	7082	70.20615645
UGA	Uganda	697	40247	1.731806097
UKR	Ukraine	74170	79580	93.2018095
ARE	United Arab Emirates	2349	13095	17.93814433
GBR	United Kingdom	27033	122946	21.98770192
TZA	United Republic of Tanzania	4168	54968	7.582593509
USA	United States of America	296863	641776	46.25648201
URY	Uruguay	2476	5316	46.57637321
UZB	Uzbekistan	19934	47311	42.13396462
VUT	Vanuatu	12	370	3.243243243
VEN	Venezuela (Bolivarian Republic of)	5756	39706	14.49654964
VNM	Viet Nam	22712	105399	21.54859154
YEM	Yemen	420	18325	2.291950887
ZMB	Zambia	816	10180	8.015717092
ZWE	Zimbabwe	262	9524	2.750944981
